	epi_isl	submitting_lab	originating_lab
1995	EPI1381168	Who Chinese National Influenza Center	Colorado Department Of Health Lab
1996	EPI1173676	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
1997	EPI1317590	Centers For Disease Control And Prevention	Institute For Biomedical Sciences
1998	EPI1273426	Centers For Disease Control And Prevention	National Influenza Center French Guiana And French Indies
1999	EPI1756162	Centers For Disease Control And Prevention	National Influenza Center French Guiana And French Indies
2000	EPI1653494	Centers For Disease Control And Prevention	Instituto Adolfo Lutz
2001	EPI1273554	Centers For Disease Control And Prevention	Florida Department Of Health Tampa
2002	EPI1320558	Centers For Disease Control And Prevention	Contiguo A Hospital Rosales
2003	EPI1257261	Centers For Disease Control And Prevention	Cenetrop
2004	EPI1265932	Centers For Disease Control And Prevention	Instituto Nacional De Enfermedades Infecciosas
2005	EPI1281885	Centers For Disease Control And Prevention	Instituto Nacional De Enfermedades Infecciosas
2006	EPI1544871	Centers For Disease Control And Prevention	Institut Pasteur De Madagascar
2007	EPI1489529	Centers For Disease Control And Prevention	Laboratório De Isolamento Viral
2008	EPI1270593	Scientific Institute Of Public Health (wiv Isp)	Sciensano (scientific Institute Of Public Health)
2009	EPI1574046	Centers For Disease Control And Prevention	Who National Influenza Centre, National Institute Of Medical Research (nimr)
2010	EPI1673933	Who Collaborating Centre For Reference And Research On Influenza	Institute Of Medical And Veterinary Science (imvs)
2011	EPI1320598	Centers For Disease Control And Prevention	Contiguo A Hospital Rosales
2012	EPI1343445	Centers For Disease Control And Prevention	Contiguo A Hospital Rosales
2013	EPI1343453	Centers For Disease Control And Prevention	Contiguo A Hospital Rosales
2014	EPI1544919	Centers For Disease Control And Prevention	Instituto Oswaldo Cruz Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)
2015	EPI1259540	Centers For Disease Control And Prevention	Utah Department Of Health
2016	EPI1386706	Centers For Disease Control And Prevention	Hong Kong Department Of Health
2017	EPI1312916	Centers For Disease Control And Prevention	Government Virus Unit
2018	EPI1317646	Centers For Disease Control And Prevention	National Institute For Communicable Disease
2019	EPI1326175	Centers For Disease Control And Prevention	National Institute For Communicable Disease
2020	EPI1317510	Centers For Disease Control And Prevention	National Institute For Communicable Disease
2021	EPI807275	Centers For Disease Control And Prevention	Uganda Virus Research Institute (uvri), National Influenza Center
2022	EPI908395	Centers For Disease Control And Prevention	Cdc Kenya
2023	EPI1009638	Centers For Disease Control And Prevention	Cdc Kenya
2024	EPI1106019	Centers For Disease Control And Prevention	Inrb Service De Virologie
2025	EPI1082391	Centers For Disease Control And Prevention	Inrb Service De Virologie
2026	EPI1211661	Centers For Disease Control And Prevention	Center For Medical Microbiology
2027	EPI908539	Centers For Disease Control And Prevention	Government Virus Unit
2028	EPI1141368	Centers For Disease Control And Prevention	Center For Medical Microbiology
2029	EPI909534	National Institute Of Infectious Diseases (niid)	Fukushima Prefectural Institute Of Public Health
2030	EPI839080	Centers For Disease Control And Prevention	Who Chinese National Influenza Center
2031	EPI872205	Centers For Disease Control And Prevention	Institute Of Environmental Science & Research
2032	EPI1175276	Centers For Disease Control And Prevention	Ministry Of Health
2033	EPI871923	Centers For Disease Control And Prevention	Institute Of Environmental Science & Research
2034	EPI1386621	Centers For Disease Control And Prevention	Us Namru 6
2035	EPI1164638	Centers For Disease Control And Prevention	Laboratorio De Virus Respiratorio
2036	EPI1211705	Centers For Disease Control And Prevention	Cenetrop
2037	EPI1273655	Centers For Disease Control And Prevention	National Institute Of Virology
2038	EPI1056888	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
2039	EPI1259601	Centers For Disease Control And Prevention	Ministry Of Health Bahrain
2040	EPI1362673	Centers For Disease Control And Prevention	Public Health Laboratory, Virology Unit
2041	EPI1574034	Centers For Disease Control And Prevention	Who National Influenza Centre, National Institute Of Medical Research (nimr)
2042	EPI1317418	Centers For Disease Control And Prevention	Ministry Of Health
2043	EPI1317394	Centers For Disease Control And Prevention	Ministry Of Health
2044	EPI1325744	Centers For Disease Control And Prevention	Maryland Department Of Health And Mental Hygiene
2045	EPI1324308	Centers For Disease Control And Prevention	Maryland Department Of Health And Mental Hygiene
2046	EPI1324316	Centers For Disease Control And Prevention	Maryland Department Of Health And Mental Hygiene
2047	EPI1358529	Who Collaborating Centre For Reference And Research On Influenza	Monash Medical Centre
2048	EPI1443120	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
2049	EPI1585729	Centers For Disease Control And Prevention	Shaikh Khalifa Medical City
2050	EPI833993	Centers For Disease Control And Prevention	National Institute Of Virology
2051	EPI1383341	Centers For Disease Control And Prevention	Government Virus Unit
2052	EPI1273378	Centers For Disease Control And Prevention	National Institute Of Virology
2053	EPI1278107	Centers For Disease Control And Prevention	National Institute Of Virology
2054	EPI1386501	Centers For Disease Control And Prevention	Ministry Of Health Bahrain
2055	EPI1273617	Centers For Disease Control And Prevention	National Institute Of Virology
2056	EPI908547	Centers For Disease Control And Prevention	Government Virus Unit
2057	EPI1174887	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
2058	EPI1244652	National Institute Of Infectious Diseases (niid)	Aichi Prefectural Institute Of Public Health
2059	EPI1244564	National Institute Of Infectious Diseases (niid)	Aichi Prefectural Institute Of Public Health
2060	EPI1244628	National Institute Of Infectious Diseases (niid)	National Institute Of Infectious Diseases (niid)
2061	EPI1362561	Centers For Disease Control And Prevention	National Institute Of Infectious Diseases (niid)
2062	EPI1124474	Centers For Disease Control And Prevention	Government Virus Unit
2063	EPI924367	Centers For Disease Control And Prevention	Yokohama City Institute Of Public Health.
2064	EPI1244038	Who Collaborating Centre For Reference And Research On Influenza	Institut Pasteur New Caledonia
2065	EPI1244022	Who Collaborating Centre For Reference And Research On Influenza	Institut Pasteur New Caledonia
2066	EPI1358537	Who Collaborating Centre For Reference And Research On Influenza	Institut Pasteur New Caledonia
2067	EPI1147409	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
2068	EPI1094264	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
2069	EPI975816	National Institute Of Infectious Diseases (niid)	National Institute Of Infectious Diseases (niid)
2070	EPI1147772	Centers For Disease Control And Prevention	Research Institute For Environmental Sciences And Public Health Of Iwate Prefecture
2071	EPI1341092	Who Chinese National Influenza Center	Who Chinese National Influenza Center
2072	EPI1147888	Who Chinese National Influenza Center	Who Chinese National Influenza Center
2073	EPI1362553	Centers For Disease Control And Prevention	Thai National Influenza Center
2074	EPI1409314	Centers For Disease Control And Prevention	Pasteur Institute, Influenza Laboratory
2075	EPI1394142	National Institute Of Infectious Diseases (niid)	National Institute Of Infectious Diseases (niid)
2076	EPI1244588	National Institute Of Infectious Diseases (niid)	National Institute Of Health
2077	EPI1052672	Centers For Disease Control And Prevention	Government Virus Unit
2078	EPI908379	Centers For Disease Control And Prevention	National Influenza Center
2079	EPI1340870	Who Chinese National Influenza Center	Who Chinese National Influenza Center
2080	EPI1147882	Who Chinese National Influenza Center	Who Chinese National Influenza Center
2081	EPI1081554	Centers For Disease Control And Prevention	Csee
2082	EPI1081562	Centers For Disease Control And Prevention	Csee
2083	EPI1052688	Centers For Disease Control And Prevention	Government Virus Unit
2084	EPI1340551	Who Chinese National Influenza Center	Who Chinese National Influenza Center
2085	EPI1145652	Ministry Of Health, Singapore	Ministry Of Health, Singapore
2086	EPI863194	Centers For Disease Control And Prevention	Institut Pasteur De Madagascar
2087	EPI1105521	Centers For Disease Control And Prevention	Institute Of Environmental Science & Research
2088	EPI826542	Centers For Disease Control And Prevention	Russian Academy Of Medical Sciences
2089	EPI765170	Who Collaborating Centre For Reference And Research On Influenza	Institut Pasteur New Caledonia
2090	EPI909542	National Institute Of Infectious Diseases (niid)	Kawasaki City Institute Of Public Health 
2091	EPI975712	National Institute Of Infectious Diseases (niid)	National Institute Of Infectious Diseases (niid)
2092	EPI708723	Centers For Disease Control And Prevention	Who National Influenza Centre, National Institute Of Medical Research (nimr)
2093	EPI1012528	National Institute Of Infectious Diseases (niid)	Mie Prefecture Health And Environment Research Institute
2094	EPI1365771	Who Collaborating Centre For Reference And Research On Influenza	Laboratório Nacional Da Saúde
2095	EPI843400	Centers For Disease Control And Prevention	Institute Of Environmental Science & Research
2096	EPI1042290	Centers For Disease Control And Prevention	Institut Pasteur De Madagascar
2097	EPI1137434	Centers For Disease Control And Prevention	Institut Pasteur De Madagascar
2098	EPI706753	National Institute Of Infectious Diseases (niid)	Center For Disease Control
2099	EPI875314	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
2100	EPI769853	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
2101	EPI737960	Centers For Disease Control And Prevention	Government Virus Unit
2102	EPI854434	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
2103	EPI880784	Centers For Disease Control And Prevention	Institute Of Environmental Science & Research
2104	EPI1130705	Centers For Disease Control And Prevention	Ministry Of Health, Nihrd
2105	EPI1244054	Who Collaborating Centre For Reference And Research On Influenza	Royal Darwin Hospital
2106	EPI1152808	Who Collaborating Centre For Reference And Research On Influenza	Institut Pasteur New Caledonia
2107	EPI1088834	Centers For Disease Control And Prevention	Ministry Of Health Bahrain
2108	EPI1088858	Centers For Disease Control And Prevention	Ministry Of Health Bahrain
2109	EPI1089074	Centers For Disease Control And Prevention	Irss
2110	EPI1089130	Centers For Disease Control And Prevention	Irss
2111	EPI1183344	Centers For Disease Control And Prevention	Pasteur Institut Of Côte D'ivoire
2112	EPI1078868	Centers For Disease Control And Prevention	Nic Lab Cvd Mali
2113	EPI1008168	Centers For Disease Control And Prevention	Instituto De Salud Publica De Chile 
2114	EPI955348	Centers For Disease Control And Prevention	National Public Health Laboratory
2115	EPI1183763	Who Collaborating Centre For Reference And Research On Influenza	National Centre For Scientific Services For Virology  And Vector Borne Diseases
2116	EPI1052111	Centers For Disease Control And Prevention	Institute Of Environmental Science & Research
2117	EPI1362515	Centers For Disease Control And Prevention	Instituto De Salud Publica De Chile 
2118	EPI1256764	Instituto De Salud Publica De Chile	Instituto De Salud Publica De Chile 
2119	EPI745170	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
2120	EPI695021	Centers For Disease Control And Prevention	National Institute For Communicable Disease
2121	EPI1025691	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
2122	EPI825587	Centers For Disease Control And Prevention	Government Virus Unit
2123	EPI675814	Centers For Disease Control And Prevention	Government Virus Unit
2124	EPI706641	National Institute Of Infectious Diseases (niid)	Tokyo Metropolitan Institute Of Public Health
2125	EPI1107537	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
2126	EPI1088943	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
2127	EPI1056896	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
2128	EPI833836	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
2129	EPI834249	Centers For Disease Control And Prevention	Central Public Health Laboratory, Ministry Of Health
2130	EPI1051916	Centers For Disease Control And Prevention	Instituto Nacional De Enfermedades Infecciosas
2131	EPI864206	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
2132	EPI1105762	Centers For Disease Control And Prevention	Institute Of Environmental Science & Research
2133	EPI1106869	Centers For Disease Control And Prevention	Russian Academy Of Medical Sciences
2134	EPI1112468	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
2135	EPI872320	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
2136	EPI1051756	Centers For Disease Control And Prevention	Ivanovsky Research Institute Of Virology Rams
2137	EPI1089764	Centers For Disease Control And Prevention	National Center For Communicable Diseases
2138	EPI955559	Centers For Disease Control And Prevention	Ministry Of Health Bahrain
2139	EPI1012544	National Institute Of Infectious Diseases (niid)	Shizuoka Institute Of Environment And Hygiene
2140	EPI1012684	Centers For Disease Control And Prevention	Institute Of Epidemiology And Infectious Diseases Ams Of Ukraine
2141	EPI863215	Centers For Disease Control And Prevention	Institut Pasteur De Madagascar
2142	EPI994761	Centers For Disease Control And Prevention	Ministry Of Health
2143	EPI1734605	Who Collaborating Centre For Reference And Research On Influenza	Pathwest Qe Ii Medical Centre
2144	EPI1651129	Centers For Disease Control And Prevention	Icddr,b International Centre For Diarrhoeal Disease Research, Bangladesh
2145	EPI1262424	Centers For Disease Control And Prevention	Florida Department Of Health Tampa
2146	EPI1312876	Centers For Disease Control And Prevention	Nic Lab Cvd Mali
2147	EPI1358521	Who Collaborating Centre For Reference And Research On Influenza	Monash Medical Centre
2148	EPI1443080	Centers For Disease Control And Prevention	Irss
2149	EPI1409607	Centers For Disease Control And Prevention	Nic Lab Cvd Mali
2150	EPI1445427	Sciensano	Sciensano (scientific Institute Of Public Health)
2151	EPI1409599	Centers For Disease Control And Prevention	Nic Lab Cvd Mali
2152	EPI1797167	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
2153	EPI1574196	Centers For Disease Control And Prevention	Ministry Of Health Bahrain
2154	EPI1544333	Centers For Disease Control And Prevention	Ivanovsky Research Institute Of Virology Rams
2155	EPI1449448	Centers For Disease Control And Prevention	Shaikh Khalifa Medical City
2156	EPI1314891	Centers For Disease Control And Prevention	National Influenza Reference Laboratory
2157	EPI1738336	Public Health Agency Of Sweden	Public Health Agency Of Sweden
2158	EPI1738328	Public Health Agency Of Sweden	Public Health Agency Of Sweden
2159	EPI1722789	Centers For Disease Control And Prevention	Pasteur Institut Of Côte D'ivoire
2160	EPI1715831	Centers For Disease Control And Prevention	Nic Lab Cvd Mali
2161	EPI1715048	Centers For Disease Control And Prevention	Inrb Service De Virologie
2162	EPI1715839	Centers For Disease Control And Prevention	Nic Lab Cvd Mali
2163	EPI1796274	Centers For Disease Control And Prevention	Institute Of Public Health (macedonia)
2164	EPI1756186	Centers For Disease Control And Prevention	National Influenza Center French Guiana And French Indies
2165	EPI1723233	Centers For Disease Control And Prevention	Rafic Hariri University Hospital 4th Floor Dna/research Lab
2166	EPI1589322	National Institute Of Infectious Diseases (niid)	Yamagata Prefectural Institute Of Public Health
2167	EPI1715016	Centers For Disease Control And Prevention	National Public Health Laboratory
2168	EPI1673917	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Forensic And Scientific Services 
2169	EPI1697705	Centers For Disease Control And Prevention	Ministry Of Health Bahrain
2170	EPI1674248	Who Collaborating Centre For Reference And Research On Influenza	Institute Of Environmental Science And Research
2171	EPI1504923	Who Chinese National Influenza Center	National Institute Of Infectious Diseases (niid)
2172	EPI1592960	Centers For Disease Control And Prevention	National Institute Of Infectious Diseases (niid)
2173	EPI1640541	Ministry Of Health, Singapore	Ministry Of Health, Singapore
2174	EPI1748511	Centers For Disease Control And Prevention	Russian Academy Of Medical Sciences
2175	EPI1763053	Who National Influenza Centre Russian Federation	Research Institute Of Experimental And Clinical Medicine
2176	EPI1734557	Who Collaborating Centre For Reference And Research On Influenza	Medical Research Institute
2177	EPI1734613	Who Collaborating Centre For Reference And Research On Influenza	Clinical Virology Unit, Cdim
2178	EPI1749586	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Forensic And Scientific Services 
2179	EPI1722891	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
2180	EPI1585658	Centers For Disease Control And Prevention	Government Virus Unit
2181	EPI1593223	Centers For Disease Control And Prevention	Government Virus Unit
2182	EPI1714796	Centers For Disease Control And Prevention	National Public Health Laboratory
2183	EPI1544757	Centers For Disease Control And Prevention	Ministry Of Health Bahrain
2184	EPI1628652	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
2185	EPI1585890	Centers For Disease Control And Prevention	Inrb Service De Virologie
2186	EPI1481682	Centers For Disease Control And Prevention	Inrb Service De Virologie
2187	EPI1734573	Who Collaborating Centre For Reference And Research On Influenza	Medical Research Institute
2188	EPI1763108	Who National Influenza Centre Russian Federation	Research Institute Of Experimental And Clinical Medicine
2189	EPI1749578	Who Collaborating Centre For Reference And Research On Influenza	Alfred Hospital
2190	EPI1640111	National Institute Of Infectious Diseases (niid)	Nagano Environmental Conservation Research Institute
2191	EPI1750738	Ministry Of Health, Singapore	Ministry Of Health, Singapore
2192	EPI1749570	Who Collaborating Centre For Reference And Research On Influenza	Childrens Hospital Westmead
2193	EPI1753715	National Institute Of Infectious Diseases (niid)	Yokohama City Institute Of Public Health.
2194	EPI1752206	Centers For Disease Control And Prevention	State Of Hawaii Department Of Health
2195	EPI1715408	Centers For Disease Control And Prevention	Houston Department Of Health And Human Services
2196	EPI1654434	U.s. Air Force School Of Aerospace Medicine	U.s. Air Force School Of Aerospace Medicine 
2197	EPI1749594	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Forensic And Scientific Services 
2198	EPI1697742	Centers For Disease Control And Prevention	Ministry Of Health Bahrain
2199	EPI1668567	U.s. Air Force School Of Aerospace Medicine	U.s. Air Force School Of Aerospace Medicine 
2200	EPI1705593	Centers For Disease Control And Prevention	Institute Of Epidemiology And Infectious Diseases Ams Of Ukraine
2201	EPI1638272	Centers For Disease Control And Prevention	Shaikh Khalifa Medical City
2202	EPI1635357	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
2203	EPI1593128	Centers For Disease Control And Prevention	National Institute Of Virology
2204	EPI1602818	Centers For Disease Control And Prevention	Adimmune Corporation
2205	EPI1485112	Institut Pasteur	Institut Pasteur
2206	EPI1799979	National Institute Of Infectious Diseases (niid)	Akita Research Center For Public Health And Environment
2207	EPI1643351	Centers For Disease Control And Prevention	Ministry Of Health Bahrain
2208	EPI1796673	National Institute Of Infectious Diseases (niid)	Osaka Prefectural Institute Of Public Health
2209	EPI1740158	National Institute Of Infectious Diseases (niid)	Aichi Prefectural Institute Of Public Health
2210	EPI1544833	Centers For Disease Control And Prevention	Rafic Hariri University Hospital 4th Floor Dna/research Lab
2211	EPI1643327	Centers For Disease Control And Prevention	Instituto Nacional De Laboratoriosde Salud (inlasa)
2212	EPI1734629	Who Collaborating Centre For Reference And Research On Influenza	John Hunter Hospital
2213	EPI1654825	U.s. Air Force School Of Aerospace Medicine	U.s. Air Force School Of Aerospace Medicine 
2214	EPI1654849	U.s. Air Force School Of Aerospace Medicine	U.s. Air Force School Of Aerospace Medicine 
2215	EPI1368874	Centers For Disease Control And Prevention	Washington State Public Health Laboratory
2216	EPI1796665	National Institute Of Infectious Diseases (niid)	Aichi Prefectural Institute Of Public Health
2217	EPI1635293	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
2218	EPI1758545	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
2219	EPI159930	Other Database Import	National Institute For Biological Standards And Control (nibsc)
2220	EPI1447662	Who Collaborating Centre For Reference And Research On Influenza	Who National Influenza Centre, National Institute Of Medical Research (nimr)
2221	EPI62257	Other Database Import	Who National Influenza Centre, National Institute Of Medical Research (nimr)
2222	EPI483564	Other Database Import	Monash Medical Centre
2223	EPI178560	Who Collaborating Centre For Reference And Research On Influenza	Westmead Hospital
2224	EPI483180	Other Database Import	Auckland Hospital
2225	EPI483652	Other Database Import	Queensland Health Scientific Services
2226	EPI483164	Other Database Import	Westmead Hospital
2227	EPI483580	Other Database Import	Monash Medical Centre
2228	EPI483140	Other Database Import	Queensland Health Scientific Services
2229	EPI483452	Other Database Import	Monash Medical Centre
2230	EPI154537	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
2231	EPI334682	National Institute For Medical Research	Government Virus Unit
2232	EPI357569	Who Collaborating Centre For Reference And Research On Influenza	Pathwest Qe Ii Medical Centre
2233	EPI431330	National Institute For Medical Research	Institut Pasteur
2234	EPI330937	Who Chinese National Influenza Center	Who Chinese National Influenza Center
2235	EPI406289	National Institute For Medical Research	Centers For Disease Control And Prevention
2236	EPI376976	Who Collaborating Centre For Reference And Research On Influenza	Laboratorio De Saude Publico
2237	EPI431350	National Institute For Medical Research	Central Virology Laboratory Israel (nic)
2238	EPI372571	Swedish Institute For Infectious Disease Control	Swedish Institute For Infectious Disease Control
2239	EPI417721	Norwegian Institute Of Public Health	Who National Influenza Centre
2240	EPI376970	Who Collaborating Centre For Reference And Research On Influenza	Monash Medical Centre
2241	EPI394452	Who Collaborating Centre For Reference And Research On Influenza	Who Collaborating Centre For Reference And Research On Influenza
2242	EPI392573	National Institute For Medical Research	Crr Virus Influenza Region Sud
2243	EPI450326	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
2244	EPI431332	National Institute For Medical Research	Government Virus Unit
2245	EPI319345	National Institute For Medical Research	Health Protection Inspectorate
2246	EPI477519	Who Collaborating Centre For Reference And Research On Influenza	Medical Research Institute
2247	EPI431336	National Institute For Medical Research	Government Virus Unit
2248	EPI466121	Who Collaborating Centre For Reference And Research On Influenza	Auckland Healthcare
2249	EPI462451	Centers For Disease Control And Prevention	Cdc Kenya
2250	EPI564818	National Institute Of Infectious Diseases (niid)	Center For Disease Control
2251	EPI621529	National Institute Of Infectious Diseases (niid)	Ministry Of Health Laos
2252	EPI708771	Centers For Disease Control And Prevention	Inrb Service De Virologie
2253	EPI621515	National Institute Of Infectious Diseases (niid)	Ministry Of Health Laos
2254	EPI644199	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
2255	EPI629466	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
2256	EPI649030	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
2257	EPI406317	National Institute For Medical Research	Who National Influenza Centre
2258	EPI491392	Who Collaborating Centre For Reference And Research On Influenza	Institute Of Environmental Science And Research
2259	EPI406325	National Institute For Medical Research	Instituto Nacional De Enfermedades Infecciosas
2260	EPI406238	National Institute For Medical Research	Instituto Nacional De Enfermedades Infecciosas
2261	EPI487402	Who Collaborating Centre For Reference And Research On Influenza	Medical Research Institute
2262	EPI408055	National Institute For Medical Research	Statens Serum Institute
2263	EPI497676	Centers For Disease Control And Prevention	Laboratorio Nacional De Salud Guatemala
2264	EPI483148	Other Database Import	Canterbury Health Services
2265	EPI483588	Other Database Import	Queensland Health Scientific Services
2266	EPI319409	National Institute For Medical Research	Refik Saydam National Public Health Agency
2267	EPI294086	Who Collaborating Centre For Reference And Research On Influenza	Sandringham, National Institute For Communicable D
2268	EPI503164	Other Database Import	Queensland Health Scientific Services
2269	EPI331186	Centers For Disease Control And Prevention	Texas Department Of State Health Services Laboratory Services
2270	EPI319407	National Institute For Medical Research	Istituto Superiore Di Sanità
2271	EPI406252	National Institute For Medical Research	Sandringham, National Institute For Communicable D
2272	EPI464401	Centers For Disease Control And Prevention	Institute Of Epidemiology And Infectious Diseases Ams Of Ukraine
2273	EPI486464	Centers For Disease Control And Prevention	Arizona Department Of Health Services
2274	EPI554615	Centers For Disease Control And Prevention	Instituto Nacional De Salud De Columbia
2275	EPI642286	Centers For Disease Control And Prevention	Instituto Nacional De Salud De Columbia
2276	EPI331362	Who Collaborating Centre For Reference And Research On Influenza	Monash Medical Centre
2277	EPI326171	National Institute For Medical Research	Institute Of Immunology And Virology Torlak
2278	EPI346060	Who Collaborating Centre For Reference And Research On Influenza	Institute Of Environmental Science And Research
2279	EPI331705	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
2280	EPI406311	National Institute For Medical Research	Who National Influenza Centre
2281	EPI346758	National Institute For Medical Research	Refik Saydam National Public Health Agency
2282	EPI346765	National Institute For Medical Research	Refik Saydam National Public Health Agency
2283	EPI346777	National Institute For Medical Research	Institut Pasteur
2284	EPI301326	National Institute For Medical Research	Tehran University Of Medical Sciences
2285	EPI326163	National Institute For Medical Research	Refik Saydam National Public Health Agency
2286	EPI319339	National Institute For Medical Research	Health Protection Agency
2287	EPI346779	National Institute For Medical Research	Health Protection Agency
2288	EPI902667	Crick Worldwide Influenza Centre	Institut Pasteur D'algerie
2289	EPI305409	National Institute For Medical Research	Robert Koch Institute
2290	EPI305413	National Institute For Medical Research	Institut Pasteur
2291	EPI319343	National Institute For Medical Research	Health Protection Agency
2292	EPI352413	National Institute For Medical Research	Erasmus Medical Center
2293	EPI346756	National Institute For Medical Research	Refik Saydam National Public Health Agency
2294	EPI319381	National Institute For Medical Research	Crr Virus Influenza Region Sud
2295	EPI370030	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
2296	EPI904240	Crick Worldwide Influenza Centre	Institut Pasteur De Dakar  
2297	EPI357720	National Institute For Medical Research	Institut Pasteur De Dakar
2298	EPI348674	Hospital Clinic	Hospital Clinic
2299	EPI345996	Hospital Clinic	Hospital Clinic
2300	EPI357718	National Institute For Medical Research	Instituto De Salud Carlos Iii
2301	EPI904402	Crick Worldwide Influenza Centre	University Of Ghana
2302	EPI416464	National Institute For Medical Research	Who National Influenza Centre
2303	EPI417745	National Institute For Medical Research	University Of Ghana
2304	EPI352425	National Institute For Medical Research	Pasteur Institut Of Côte D'ivoire
2305	EPI352442	National Institute For Medical Research	Pasteur Institut Of Côte D'ivoire
2306	EPI387459	National Institute For Medical Research	Istituto Superiore Di Sanità
2307	EPI346404	Swedish Institute For Infectious Disease Control	Swedish Institute For Infectious Disease Control
2308	EPI357730	National Institute For Medical Research	University Of Vienna
2309	EPI904246	Crick Worldwide Influenza Centre	Centre Pasteur Du Cameroun
2310	EPI352427	National Institute For Medical Research	Pasteur Institut Of Côte D'ivoire
2311	EPI293728	Who Chinese National Influenza Center	Who Chinese National Influenza Center
2312	EPI293688	Who Chinese National Influenza Center	Who Chinese National Influenza Center
2313	EPI331368	Who Collaborating Centre For Reference And Research On Influenza	Institute Pasteur Du Cambodia
2314	EPI293672	Who Chinese National Influenza Center	Who Chinese National Influenza Center
2315	EPI293720	Who Chinese National Influenza Center	Who Chinese National Influenza Center
2316	EPI293736	Who Chinese National Influenza Center	Who Chinese National Influenza Center
2317	EPI293680	Who Chinese National Influenza Center	Who Chinese National Influenza Center
2318	EPI293712	Who Chinese National Influenza Center	Who Chinese National Influenza Center
2319	EPI330721	Who Chinese National Influenza Center	Who Chinese National Influenza Center
2320	EPI293744	Who Chinese National Influenza Center	Who Chinese National Influenza Center
2321	EPI330641	Who Chinese National Influenza Center	Who Chinese National Influenza Center
2322	EPI330428	Who Chinese National Influenza Center	Who Chinese National Influenza Center
2323	EPI330593	Who Chinese National Influenza Center	Who Chinese National Influenza Center
2324	EPI334684	National Institute For Medical Research	Government Virus Unit
2325	EPI330444	Who Chinese National Influenza Center	Who Chinese National Influenza Center
2326	EPI330649	Who Chinese National Influenza Center	Who Chinese National Influenza Center
2327	EPI352423	National Institute For Medical Research	Robert Koch Institute
2328	EPI330889	Who Chinese National Influenza Center	Who Chinese National Influenza Center
2329	EPI379527	Who Collaborating Centre For Reference And Research On Influenza	Papua New Guinea Institute Of Medical Research
2330	EPI357602	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
2331	EPI417386	Who Collaborating Centre For Reference And Research On Influenza	Research Institute Of Tropical Medicine
2332	EPI330921	Who Chinese National Influenza Center	Who Chinese National Influenza Center
2333	EPI330841	Who Chinese National Influenza Center	Who Chinese National Influenza Center
2334	EPI377694	National Institute For Medical Research	Who National Influenza Centre Russian Federation
2335	EPI511869	Centers For Disease Control And Prevention	New Hampshire Public Health Laboratories
